rv,gene_name,mtbc0,h37rv_product,mycobrowser_product,mycobrowser_function,mycobrowser_ec,was_unknown_in_mycobrowser,atlas_verdict,atlas_confidence,atlas_function,atlas_ec,novelty,ahead_of_mycobrowser,ahead_via,ec_vs_mycobrowser,annotation_route,swissprot_curated,functional_basis,support_evidence,n_references
Rv0059,darT,mtbc0_000064,hypothetical protein,Hypothetical protein,,,1,requalified,high,"DarT (DarT_Mtb), toxin of the DarTG toxin-antitoxin system: a DNA ADP-ribosyltransferase that sequence-specifically modifies thymidines on single-stranded DNA. Unchecked it blocks replication and is bactericidal; it is neutralised and reversed by the cognate antitoxin DarG (Rv0060). The toxin is dispensable for viability.",2.4.2.-,new_function,1,curated function (UniProt);EC number;COG category;requalified function,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,1
Rv0060,darG,mtbc0_000065,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,requalified,high,"DarG (DarG_Mtb), antitoxin of the DarTG system: a macrodomain DNA ADP-ribosyl-glycohydrolase that removes the ADP-ribose mark deposited on DNA by the toxin DarT (Rv0059) and binds/neutralises it. In M. tuberculosis DarG is essential; its depletion triggers the DNA-damage response and cell death.",3.2.2.-,new_function,1,curated function (UniProt);EC number;requalified function,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,2
Rv0061c,,-,hypothetical protein,Hypothetical protein,,,1,dark,low,"Conserved hypothetical protein; no recognised domain. Function unknown. Foldseek best (non-significant) hit: 5oun-assembly1_A NMR solution structure of the external DII domain of (prob 0.15, TM 0.64).",,still_unknown,0,,,unknown,0,eggNOG;Foldseek;STRING,purifying-selection;pseudogene-candidate;MS-detected,0
Rv0062,celA1,-,cellulase CelA,"Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)","The biological conversion of cellulose to glucose generally requires three types of hydrolytic enzymes: (1) endoglucanases which cut internal beta-1,4-glucosidic bonds; (2) exocellobiohydrolases that cut the dissaccharide cellobiose from the nonreducing end of the cellulose polymer chain; (3) beta-1,4-glucosidases which hydrolyze the cellobiose and other short cello-oligosaccharides to glucose [ca",3.2.1.4,0,requalified,high,Cellulase CelA. Pfam: Glyco_hydro_6 (PF01341.24).,3.2.1.-;3.2.1.4,confirmed,0,,agree,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0063,,mtbc0_000068,oxidoreductase,Possible oxidoreductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,requalified,high,"FAD-binding oxidoreductase. Pfam: FAD_binding_4 (PF01565.29), BBE (PF08031.18).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0063a,,-,hypothetical protein,,,,0,dark,low,Conserved hypothetical protein; no recognised domain. Function unknown.,,still_unknown,0,,,unknown,0,Foldseek,,0
Rv0064,,mtbc0_000070,transmembrane protein,Probable conserved transmembrane protein,,,0,family_assigned,low,UPF0182 family protein.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0064A,vapB1,-,antitoxin VapB1,Possible antitoxin VapB1,,,0,requalified,high,Antitoxin VapB1. Pfam: FitA-like_RHH (PF22513.3).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0065,vapC1,mtbc0_000072,ribonuclease VapC1,Possible toxin VapC1,,,0,requalified,high,Type II toxin-antitoxin system ribonuclease VapC1. Pfam: PIN (PF01850.28).,3.1.-.-,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0066c,icd2,mtbc0_000073,isocitrate dehydrogenase,Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP),Involved in the KREBS cycle [catalytic activity: isocitrate + NADP+ = 2-oxoglutarate + CO(2) + NADPH].,1.1.1.42,0,requalified,high,NADP-dependent isocitrate dehydrogenase. Pfam: IDH (PF03971.20).,1.1.1.42,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0067c,,mtbc0_000074,transcriptional regulator,Possible transcriptional regulatory protein (possibly TetR-family),Possibly involved in transcriptional mechanism.,,0,family_assigned,medium,"Helix-turn-helix domain-containing protein. Pfam: TetR_N (PF00440.30), TetR_C_43 (PF21597.3).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0068,,mtbc0_000075,oxidoreductase,Probable oxidoreductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,family_assigned,medium,"SDR family NAD(P)-dependent oxidoreductase. Pfam: adh_short (PF00106.32), KR (PF08659.17), adh_short_C2 (PF13561.13).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0069c,sdaA,mtbc0_000076,L-serine dehydratase,Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD),Involved in gluconeogenesis from serine [catalytic activity: L-serine + H2O = pyruvate + NH3 + H2O].,4.3.1.17,0,requalified,high,"L-serine ammonia-lyase. Pfam: SDH_beta (PF03315.22), SDH_alpha (PF03313.22).",4.3.1.17,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0070c,glyA2,mtbc0_000077,serine hydroxymethyltransferase,Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2),"Key enzyme in the biosynthesis of purines, lipids, other components. Interconversion of serine and glycine [catalytic activity: 5,10-methylenetetrahydrofolate + glycine + H2O = tetrahydrofolate + L-serine].",2.1.2.1,0,requalified,high,"Serine hydroxymethyltransferase. Pfam: SHMT (PF00464.26), Aminotran_1_2 (PF00155.28), DegT_DnrJ_EryC1 (PF01041.24).",2.1.2.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0071,,mtbc0_000078,maturase,Possible maturase,,,0,family_assigned,medium,Reverse transcriptase domain-containing protein. Pfam: RVT_1 (PF00078.33).,2.7.7.49,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0072,,mtbc0_000080,glutamine ABC transporter permease,Probable glutamine-transport transmembrane protein ABC transporter,Thought to be involved in active transport of glutamine across the membrane (import). Responsible for the translocation of the substrate across the membrane.,,0,family_assigned,medium,"FtsX-like permease family protein. Pfam: MacB_PCD (PF12704.15), FtsX (PF02687.28).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0073,,mtbc0_000081,glutamine ABC transporter ATP-binding protein,Probable glutamine-transport ATP-binding protein ABC transporter,Thought to be involved in active transport of glutamine across the membrane (import). Responsible for the translocation of the substrate across the membrane.,,0,family_assigned,medium,"ATP-binding cassette domain-containing protein. Pfam: ABC_tran (PF00005.34), cNMP_binding (PF00027.36).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;pseudogene-candidate;MS-detected,0
Rv0074,,mtbc0_000082,hypothetical protein,Conserved protein,Function unknown,,1,family_assigned,medium,Amidohydrolase-superfamily metalloenzyme (Pfam Amidohydro_1 PF01979 + Amidohydro_3). A TIM-barrel metal-dependent hydrolase; the specific substrate in M. tuberculosis is not established.,,new_family_or_domain,1,COG category,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;pseudogene-candidate;MS-detected,0
Rv0075,,mtbc0_000083,aminotransferase,Probable aminotransferase,Function unknown; probably involved in cellular metabolism.,2.6.1.-,0,family_assigned,medium,MalY/PatB family protein. Pfam: Aminotran_1_2 (PF00155.28).,4.4.1.13;4.4.1.8,ec_disagreement,0,,differ,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv0076c,,-,membrane protein,Probable membrane protein,,,0,family_assigned,low,Membrane protein.,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Foldseek;STRING,purifying-selection,0
Rv0077c,,mtbc0_000085,oxidoreductase,Probable oxidoreductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,family_assigned,medium,"Alpha/beta hydrolase. Pfam: Abhydrolase_1 (PF00561.27), Abhydrolase_6 (PF12697.14).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv0078,,mtbc0_000086,transcriptional regulator,Probable transcriptional regulatory protein,Possibly involved in transcriptional mechanism.,,0,family_assigned,medium,"TetR/AcrR family transcriptional regulator. Pfam: TetR_N (PF00440.30), TetR_C_41 (PF21351.3).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0078A,,-,hypothetical protein,Hypothetical protein,,,1,family_assigned,medium,Contains AbiEii (PF08843.18) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv0078B,,-,hypothetical protein,Conserved protein,,,1,family_assigned,medium,Contains Rv0078B (PF18993.7) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv0079,,mtbc0_000089,hypothetical protein,Unknown protein,,,1,requalified,medium,"DATIN (Dormancy-Associated Translation Inhibitor), a DosR-regulon protein. Pfam Ribosom_S30AE_C (PF16321) places it in the ribosome-associated / hibernation-factor family; it is proposed to bind the 30S/70S ribosomal subunits and inhibit or stabilise translation during dormancy. The activity remains a (well-argued) prediction.",,new_function,1,curated function (UniProt);COG category;requalified function,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,1
Rv0080,,mtbc0_000090,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,Pyridoxamine-5'-phosphate-oxidase (PNPOx) family protein / FMN-binding split-barrel (Pfam Pyridox_ox_2 PF12900). Putative FMN-dependent oxidoreductase; specific reaction not established.,,new_family_or_domain,1,COG category,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0081,,mtbc0_000091,HTH-type transcriptional regulator,Probable transcriptional regulatory protein,Involved in transcriptional mechanism.,,0,family_assigned,medium,"Lsr2/espR transcriptional regulator. Pfam: HTH_20 (PF12840.14), HTH_5 (PF01022.27).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0082,,mtbc0_000092,oxidoreductase,Probable oxidoreductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,family_assigned,medium,NADH-quinone oxidoreductase subunit B family protein. Pfam: Oxidored_q6 (PF01058.30).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0083,,mtbc0_000093,oxidoreductase,Probable oxidoreductase,Function unknown; probably involved in cellular metabolism.,,0,requalified,high,Oxidoreductase. Pfam: Proton_antipo_M (PF00361.26).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0084,hycD,mtbc0_000094,formate hydrogenlyase HycD,Possible formate hydrogenlyase HycD (FHL),Involved in hydrogen metabolism; FHL pathway.,1.-.-.-,0,family_assigned,medium,Respiratory chain complex I subunit 1 family protein. Pfam: NADHdh (PF00146.27).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0085,hycP,mtbc0_000095,hydrogenase HycP,Possible hydrogenase HycP,Involved in hydrogen metabolism.,,0,family_assigned,medium,Polytopic integral membrane protein with 7 predicted transmembrane helices (DeepTMHMM). RefSeq leaves it 'hydrogenase HycP'. A topological feature consistent with a membrane transporter/permease or membrane-embedded enzyme; the transported substrate and molecular function are undetermined.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Foldseek;STRING,MS-detected,0
Rv0086,hycQ,mtbc0_000096,hydrogenase HycQ,Possible hydrogenase HycQ,Possibly involved in hydrogen metabolism.,1.-.-.-,0,requalified,high,Hydrogenase HycQ. Pfam: Proton_antipo_M (PF00361.26).,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection,0
Rv0087,hycE,mtbc0_000097,formate hydrogenase HycE,Possible formate hydrogenase HycE (FHL),Involved in hydrogen metabolism; FHL pathway.,1.-.-.-,0,family_assigned,medium,"NADH-quinone oxidoreductase subunit C. Pfam: Complex1_30kDa (PF00329.26), NiFeSe_Hases (PF00374.25), Complex1_49kDa (PF00346.25).",,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;pseudogene-candidate;MS-detected,0
Rv0088,,-,polyketide cyclase/dehydrase,Possible polyketide cyclase/dehydrase,,,0,requalified,high,Polyketide cyclase/dehydrase. Pfam: Polyketide_cyc2 (PF10604.16).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0089,,-,methyltransferase,Possible methyltransferase/methylase,Thought to cause methylation.,2.1.1.-,0,requalified,high,"Methyltransferase. Pfam: Methyltransf_9 (PF08003.18), RrnaAD (PF00398.27), Methyltransf_2 (PF00891.25), MTS (PF05175.21), Ubie_methyltran (PF01209.25), PrmA (PF06325.20), Methyltransf_23 (PF13489.13), NodS (PF05401.17), Methyltransf_25 (PF13649.13), Methyltransf_31 (PF13847.13), Methyltransf_11 (PF08241.19), Methyltransf_12 (PF08242.19).",2.1.1.-,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection,0
Rv0090,,mtbc0_000100,membrane protein,Possible membrane protein,,,0,dark,low,Conserved hypothetical protein; DUF domain(s) DUF2127. Function unknown.,,still_unknown,0,,,unknown,1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0091,mtn,mtbc0_000101,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase),Responsible for cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH) [catalytic activity 1: methylthioadenosine + H2O = adenine + 5-methylthio-D-ribose] [catalytic activity 2: S-adenosyl-L-homocysteine + H2O = adenine + S-D-ribosyl-L-homocysteine].,3.2.2.9,0,requalified,high,5'-methylthioadenosine/adenosylhomocysteine nucleosidase. Pfam: PNP_UDP_1 (PF01048.27).,3.2.2.9,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0092,ctpA,mtbc0_000102,cation transporter ATPase A,Cation transporter P-type ATPase a CtpA,Cation-transporting ATPase; possibly catalyzes the transport of a cation (possibly copper) with the hydrolyse of ATP [catalytic activity: ATP + H(2)O + cation(in) = ADP + phosphate + cation(out)].,3.6.3.-,0,requalified,high,"Heavy metal translocating P-type ATPase. Pfam: HMA (PF00403.33), E1-E2_ATPase (PF00122.26), Hydrolase (PF00702.33).",3.6.3.54;7.2.2.8,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv0093c,,-,membrane protein,Probable conserved membrane protein,,,0,family_assigned,medium,Membrane protein. Pfam: zf-HC2 (PF13490.12).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0094c,,-,hypothetical protein,Conserved hypothetical protein,Function unknown,,0,family_assigned,medium,HNH-family endonuclease of the conserved 13E12-repeat (REP13E12) protein family (eggNOG COG1403; defense COG category V; RefSeq/Mycobrowser show only 'DUF222'). The HNH motif marks a nuclease active site; cleavage target undetermined.,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,,0
Rv0095c,,-,hypothetical protein,Conserved hypothetical protein,Function unknown,,0,family_assigned,medium,"HNH-family endonuclease of the 13E12-repeat family (eggNOG COG1403, COG category V). HNH nuclease motif; target undetermined.",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,,0
Rv0096,PPE1,-,PPE family protein PPE1,PPE family protein PPE1,Function unknown,,0,family_assigned,medium,"PPE family protein PPE1. Pfam: PPE (PF00823.26), PPE-PPW (PF18878.6).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv0097,,mtbc0_000106,oxidoreductase,Possible oxidoreductase,Function unknown; probably involved in cellular metabolism.,1.-.-.-,0,family_assigned,medium,TauD/TfdA family dioxygenase. Pfam: TauD (PF02668.23).,1.14.11.78,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv0098,fcoT,mtbc0_000107,fatty acyl CoA thioesterase FcoT,Probable fatty acyl CoA thioesterase type III FcoT,Involved in fatty acid metabolism,,0,requalified,high,Fatty acyl CoA thioesterase FcoT. Pfam: FcoT (PF10862.15).,3.1.2.-;3.1.2.2;4.3.2.11,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv0099,fadD10,-,fatty-acid--CoA ligase FadD10,Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),"Function unknown, but involvement in lipid degradation.",6.2.1.-,0,requalified,high,"Fatty-acid--CoA ligase FadD10. Pfam: AMP-binding (PF00501.35), AMP-binding_C (PF13193.13).",6.2.1.20;6.2.1.47,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
